item_code,description,category,tab,total_qty,total_sales,total_profit,months_active,avg_price,mean_monthly_qty,cv_monthly_qty,trend_qty_slope,cluster
1052684664,ADVANCED SNAIL 92 ALL IN ONE CREAM 100G,SKIN AND BODY,PERSONAL CARE,1.0,495.0,-110.49,1.0,495.0,1.0,0.0,0.0,9
3499320000338,CETAPHIL MOISTURIZING LOTION 591ML,SKIN AND BODY,PERSONAL CARE,2.0,1613.1,15.100000000000001,2.0,806.55,1.0,0.0,-7.850462293418875e-17,-1
4005800292606,NIVEA WHITE & REPAIR BUY 1 TAKE 1 250ML LOTION,SKIN AND BODY,PERSONAL CARE,6.0,1518.0,187.14000000000001,5.0,253.0,1.2,0.33333333333333337,0.09999999999999981,0
4005808024704,NIVEA INTENSIVE MOISTURE BODY MILK 250ML LOTION,SKIN AND BODY,PERSONAL CARE,3.0,690.0,63.03,3.0,230.0,1.0,0.0,8.985767264226737e-17,-1
4005808298334,NIVEA MEN ROLL ON DRY IMPACT 50ML,SKIN AND BODY,PERSONAL CARE,22.0,3577.25,647.43,13.0,162.60227272727272,1.6923076923076923,0.7100226978096958,0.05494505494505499,-1
4005808298396,NIVEA MEN ROLL ON DRY IMPACT 25ML,SKIN AND BODY,PERSONAL CARE,4.0,247.0,42.36,4.0,61.75,1.0,0.0,-8.214889951798643e-17,1
4005808301843,NIVEA MEN COOL KICK ROLL-ON 50ML,SKIN AND BODY,PERSONAL CARE,11.0,1499.0,184.94,5.0,136.27272727272728,2.2,0.3401506715249037,0.39999999999999997,0
4005808319725,NIVEA INTENSIVE MOISTURE BODY MILK 400ML LOTION,SKIN AND BODY,PERSONAL CARE,4.0,1295.48,61.32,4.0,323.87,1.0,0.0,-8.214889951798643e-17,-1
4005808324774,NIVEA INTENSIVE MOISTURE BODY MILK 125ML LOTION,SKIN AND BODY,PERSONAL CARE,5.0,643.25,61.61,5.0,128.65,1.0,0.0,-1.0507920739455759e-16,3
4005808336029,NIVEA SUN PROTECT & MOISTURE SPF50 75ML,SKIN AND BODY,PERSONAL CARE,1.0,520.0,46.86,1.0,520.0,1.0,0.0,0.0,-1
4005808353996,NIVEA WHITE & REPAIR 250ML LOTION,SKIN AND BODY,PERSONAL CARE,4.0,1012.0,124.76,4.0,253.0,1.0,0.0,-8.214889951798643e-17,2
4005808354016,NIVEA WHITE & REPAIR 125ML LOTION,SKIN AND BODY,PERSONAL CARE,3.0,450.75,41.46,3.0,150.25,1.0,0.0,8.985767264226737e-17,4
4005808593941,NIVEA SMOOTH & FIRM 125ML LOTION,SKIN AND BODY,PERSONAL CARE,2.0,318.5,29.3,2.0,159.25,1.0,0.0,-7.850462293418875e-17,1
4005808837472,NIVEA ROLL ON EXTRA WHITENING 50ML,SKIN AND BODY,PERSONAL CARE,26.0,3996.0,705.2,14.0,153.69230769230768,1.8571428571428572,0.3997040325158947,0.004395604395604271,-1
4005808855926,NIVEA SUN PROTECT & MOISTURE SPF50 125ML,SKIN AND BODY,PERSONAL CARE,1.0,596.0,54.09,1.0,596.0,1.0,0.0,0.0,7
4005900339126,NIVEA EXTRA WHITE SERUM 40ML,SKIN AND BODY,PERSONAL CARE,4.0,641.0,106.88,3.0,160.25,1.3333333333333333,0.3535533905932738,0.4999999999999998,3
4005900438928,NIVEA REPAIR & PROTECT 200ML LOTION,SKIN AND BODY,PERSONAL CARE,2.0,548.0,49.82,1.0,274.0,2.0,0.0,0.0,-1
4005900719676,NIVEA DEWY SAKURA 200ML LOTION,SKIN AND BODY,PERSONAL CARE,3.0,765.0,69.12,3.0,255.0,1.0,0.0,8.985767264226737e-17,8
42131946,NIVEA ROLL ON EXTRA WHITENING 25ML,SKIN AND BODY,PERSONAL CARE,4.0,280.0,45.8,3.0,70.0,1.3333333333333333,0.3535533905932738,0.4999999999999998,1
42300052,NIVEA EXTRA WHITE SERUM ROLL ON 20ML,SKIN AND BODY,PERSONAL CARE,5.0,458.7,32.15,4.0,91.74,1.25,0.34641016151377546,0.10000000000000009,9
4800003439526,ESKINOL CLASSIC WHITE 225ML,SKIN AND BODY,PERSONAL CARE,4.0,431.0,431.0,4.0,107.75,1.0,0.0,-8.214889951798643e-17,4
4800003439533,ESKINOL CLASSIC WHITE 135ML,SKIN AND BODY,PERSONAL CARE,4.0,257.0,43.24,3.0,64.25,1.3333333333333333,0.3535533905932738,0.4999999999999998,1
4800003439540,ESKINOL CLASSIC GLOW 75ML,SKIN AND BODY,PERSONAL CARE,5.0,250.0,58.5,3.0,50.0,1.6666666666666667,0.282842712474619,-2.8739846092794455e-16,1
4800003439557,ESKINOL CLASSIC W/ GRAINS 225L,SKIN AND BODY,PERSONAL CARE,5.0,538.75,90.25,4.0,107.75,1.25,0.34641016151377546,0.10000000000000009,-1
4800003439571,ESKINOL CLASSIC GLOW WITH GRAINS 75ML,SKIN AND BODY,PERSONAL CARE,3.0,150.0,150.0,2.0,50.0,1.5,0.3333333333333333,0.9999999999999998,1
4800003492569,DR. KAUFMANN SULFUR YELLOW 80G,SKIN AND BODY,PERSONAL CARE,6.0,231.0,22.34,3.0,38.5,2.0,0.7071067811865476,-1.5000000000000002,1
4800003492576,DR. KAUFMANN IR SULFUR WHITE 80G,SKIN AND BODY,PERSONAL CARE,18.0,693.0,67.0,13.0,38.5,1.3846153846153846,0.3513641844631533,-0.010989010989010966,-1
4800011111162,BIODERM SOAP TIMELESS BEIGE 135G,SKIN AND BODY,PERSONAL CARE,43.0,1926.0,364.9,18.0,44.7906976744186,2.388888888888889,0.6261819543179656,0.09184726522187824,-1
4800011113968,BIODERM SOAP COOLNESS BLUE 135G,SKIN AND BODY,PERSONAL CARE,55.0,2520.8,495.09999999999997,23.0,45.832727272727276,2.391304347826087,0.6724815275966156,0.10869565217391305,-1
4800011115269,BIODERM SOAP PRISTINE GRAY 135G,SKIN AND BODY,PERSONAL CARE,45.0,2025.0,403.8,18.0,45.0,2.5,0.5537749241945383,0.0980392156862745,-1
4800011178745,DR. S WONG&#039;S SULFUR W/ ALOE VERA SOAP 80G,SKIN AND BODY,PERSONAL CARE,51.0,2040.0,194.28,24.0,40.0,2.125,0.548669356064048,0.021304347826086926,-1
