sku,description,mode,chosen,MAE,RMSE,MAPE%,MASE,WAPE%,MPE%,MASE_WF,plot
4807788561688,BIOGESIC 500MG TAB,auto,Blend,210.93453858704942,275.21964737797214,53.144398205853435,0.6611072707919277,36.06837212296233,20.590660064354356,1.0233160535370005,rf_4807788561688.png
4806533602379,RETASAR (LOSARTAN) 50MG TAB,auto,Seasonal-Naive,460.0,481.08488509478934,270.4123513571385,1.8499561275226677,78.32009080590238,212.55061160582449,,rf_4806533602379.png
4806504260614,APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,auto,RandomForest,93.31780095354188,129.95381947934513,21.160308558066003,0.936690599282729,26.054780252831662,-16.967444450865703,1.93755627658708,rf_4806504260614.png
8904179014702,NOVASARTAN (LOSARTAN K) 50MG FC TAB,auto,Seasonal-Naive,281.5,287.31254758537784,167.9318783068783,0.8067718888820653,71.53748411689962,134.74669312169314,,rf_8904179014702.png
0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,auto,Blend,51.10281879816628,54.86801799893193,15.587109331634228,0.5268331834862503,14.53849752437163,4.052956969620657,,rf_0725765883117.png
4807788562593,IMMUNPRO 500MG TAB,auto,Blend,47.102081226934,59.501718374797626,97.10215152090075,0.43568410807849833,50.64739916874623,77.02805513088833,0.6131206936719759,rf_4807788562593.png
4806524781854,NEPHORMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,auto,Blend,104.908576814329,126.94218626798026,28.64814158526896,0.25650018781009537,31.598968919978613,4.559101015628281,,rf_4806524781854.png
4800369000545,TERRAFERON CAP,auto,RandomForest,34.44609303765754,42.551816767321526,50.43539854160065,0.2270428713974775,45.32380662849677,25.0498151592955,0.40907139621366334,rf_4800369000545.png
4807788526762,BIOFLU TAB,auto,Blend,30.65483789454773,33.01166992302293,36.53389113569545,0.4441764528660107,32.41448115737675,13.765751047052161,0.6427739862870389,rf_4807788526762.png
8904186000521,TRIMEBET (TRIMETAZIDINE) 35G TAB,auto,Blend,32.07357679006132,37.37034811354501,18.756567106401263,0.34562043954807453,17.95832966968719,4.38164735791335,0.7190399949942633,rf_8904186000521.png
