Month,Actual,Holdout_Pred,Forecast
2022-05-01,117.0,,
2022-06-01,190.0,,
2022-07-01,138.0,,
2022-08-01,125.0,,
2022-09-01,222.0,,
2022-10-01,116.0,,
2022-11-01,188.0,,
2022-12-01,88.0,,
2023-01-01,31.0,,
2023-02-01,38.0,,
2023-03-01,158.0,,
2023-04-01,103.0,,
2023-05-01,172.0,,
2023-06-01,144.0,,
2023-07-01,203.0,,
2023-08-01,136.0,,
2023-09-01,264.0,,
2023-10-01,275.0,,
2023-11-01,307.0,,
2023-12-01,333.4,,
2024-01-01,178.0,165.7978315670651,
2024-02-01,135.0,156.5948335485908,
2024-03-01,255.0,203.34501904056086,
2024-04-01,185.0,168.6732074172207,
2024-05-01,140.0,198.58910842656266,
2024-06-01,,,188.01484247842737
2024-07-01,,,203.62614116614827
2024-08-01,,,184.46317553457843
2024-09-01,,,235.01287179639746
2024-10-01,,,245.0692627256686
2024-11-01,,,258.07694641764425
