Month,Actual,Holdout_Pred,Forecast
2022-05-01,164.0,,
2022-06-01,34.0,,
2022-07-01,186.0,,
2022-08-01,117.0,,
2022-09-01,103.0,,
2022-10-01,484.7699999999998,,
2022-11-01,358.0,,
2022-12-01,243.0,,
2023-01-01,207.0,,
2023-02-01,125.0,,
2023-03-01,192.0,,
2023-04-01,36.0,,
2023-05-01,157.0,,
2023-06-01,135.0,,
2023-07-01,70.0,,
2023-08-01,117.0,,
2023-09-01,123.0,,
2023-10-01,215.0,,
2023-11-01,166.0,,
2023-12-01,261.0,,
2024-01-01,307.0,,
2024-02-01,386.0,,
2024-03-01,261.0,,
2024-04-01,260.0,,
2024-05-01,259.0,,
2024-06-01,139.0,,
2024-07-01,281.0,,
2024-08-01,152.0,,
2024-09-01,32.0,98.03870849609375,
2024-10-01,118.0,96.21683502197266,
2024-11-01,100.0,87.90014266967773,
2024-12-01,25.0,59.766938018798825,
2025-01-01,206.0,94.22987365722656,
2025-02-01,110.0,167.80191802978516,
2025-03-01,60.0,61.47245635986328,
2025-04-01,,,61.47245635986328
2025-05-01,,,122.13766326904296
2025-06-01,,,131.62225952148438
2025-07-01,,,113.97492370605468
2025-08-01,,,184.91443786621093
2025-09-01,,,163.91733245849608
