item_code,description,category,tab,total_sales,total_qty
8904179014702,NOVASARTAN (LOSARTAN K) 50MG FC TAB,CARDIOVASCULAR,GENERICS,1462.5,617.0
4806524781854,NEPHORMIN TAB,ANTIBIOTICS,PRESCRIPTION,9360.0,576.0
78014183,SAPHLOR-50 (LOSARTAN) 50MG TAB,CARDIOVASCULAR,GENERICS,1117.8,509.0
4807788561688,BIOGESIC (PARACETAMOL) 500MG TAB,PAIN MANAGEMENT,OTC,1738.25,409.0
4806524772906,AMLOTHIX (AMLODIPINE) 5MG TAB,CARDIOVASCULAR,GENERICS,605.6,311.0
8902269016674,ALCLAV (CO-AMOXICLAV) 625MG TAB,ANTIBIOTICS,PRESCRIPTION,4733.96,269.0
4806527194088,ALLECUR (CETIRIZINE) 10MG TAB,RESPIRATORY,GENERICS,795.0,265.0
4806035205429,REGIVASC (AMLODIPINE BESILATE) 10MG TAB,CARDIOVASCULAR,GENERICS,573.0,251.0
96619926626,KIRKLAND FISH OIL 1000IU,FOOD SUPPLEMENTS,OTC,920.0,230.0
4806520351211,CLODIN (CLONIDINE) 150MG TAB,GIT,GENERICS,1692.0,220.0
