year,item_code,description,category,tab,total_sales,total_qty,rank_qty
2022,4806504653164,RENAKULT CAP(PROBIOTIC,VITAMINS,OTC,48120.57,1853.0,4.0
2022,4806505141387,FORMET (METFORMIN) 500MG TAB,ANTIDIABETICS,GENERICS,2287.75,1382.0,10.0
2022,4806523301312,AXMEL (AMOXICILLIN TRIHYDRATE) 500MG CAP,ANTIBIOTICS,GENERICS,4267.03,1437.0,8.0
2022,4806524772906,AMLOTHIX (AMLODIPINE) 5MG TAB,CARDIOVASCULAR,GENERICS,3578.0,1819.0,5.0
2022,4806524781854,NEPHORMIN TAB,ANTIBIOTICS,PRESCRIPTION,26733.12,1412.0,9.0
2022,4806527194088,ALLECUR (CETIRIZINE) 10MG TAB,RESPIRATORY,GENERICS,6400.72,2143.0,3.0
2022,4806531820812,AK LOG TAB,ANTIBIOTICS,PRESCRIPTION,23100.47,1588.0,7.0
2022,4807788561688,BIOGESIC 500MG TAB,PAIN MANAGEMENT,OTC,16860.92,4144.0,1.0
2022,4807788562593,IMMUNPRO 500MG TAB,VITAMINS,OTC,13862.32,1710.0,6.0
2022,8944164510321,ANIN (LOSARTAN) 50MG TAB,CARDIOVASCULAR,GENERICS,5358.54,2420.0,2.0
2023,4800369000545,TERRAFERON CAP,VITAMINS,OTC,17671.79,2355.0,8.0
2023,4806504260614,APPEVIT CAP,VITAMINS,OTC,40612.8,2980.0,4.0
2023,4806524781854,NEPHORMIN TAB,ANTIBIOTICS,PRESCRIPTION,56120.0,3456.0,3.0
2023,4806533602379,RETASAR (LOSARTAN POTASSIUM) 50MG,CARDIOVASCULAR,PRESCRIPTION,6133.0,2552.0,7.0
2023,4806534570240,CETRINOVA (CETIRIZINE) 10MG FC TAB,ADULT MILK,F&B,6029.06,2032.0,10.0
2023,4807788561688,BIOGESIC 500MG TAB,PAIN MANAGEMENT,OTC,28620.26,6774.0,1.0
2023,4809015142035,OHHIRAs PROPOLIS 600MG CAP,RESPIRATORY,PRESCRIPTION,171520.02,2685.0,6.0
2023,54021235,GLOBISAPH (KETOANALOGUE) 630MG TAB,GUT AND HORMONES,PRESCRIPTION,43380.8,2830.0,5.0
2023,8904179014702,NOVASARTAN (LOSARTAN K) 50MG FC TAB,CARDIOVASCULAR,GENERICS,14915.76,6314.0,2.0
2023,8904186000521,TRIMEBET (TRIMETAZIDINE) 35MG TAB,CARDIOVASCULAR,GENERICS,16313.460000000001,2168.0,9.0
2024,0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,VITAMINS,OTC,238138.47,4797.0,3.0
2024,4806504260614,APPEVIT CAP,VITAMINS,OTC,50321.8,3449.0,5.0
2024,4806527192022,BETTER C (ASCORBIC ACID ) 500MG TAB,VITAMINS,GENERICS,4102.5,2021.0,8.0
2024,4806533602355,RETAVASC- 5 (AMLODIPINE) 5MG TAB,CARDIOVASCULAR,GENERICS,4742.3099999999995,2921.0,6.0
2024,4806533602379,RETASAR (LOSARTAN POTASSIUM) 50MG,CARDIOVASCULAR,PRESCRIPTION,22111.75,9157.0,1.0
2024,4807788561688,BIOGESIC 500MG TAB,PAIN MANAGEMENT,OTC,20365.32,4806.0,2.0
2024,4807788562593,IMMUNPRO 500MG TAB,VITAMINS,OTC,19290.83,2320.0,7.0
2024,4809013625080,MX3 COFFEE MIX 10G,FOOD SUPPLEMENTS,F&B,29426.4,1636.0,10.0
2024,8904130424502,RETANIX (CETIRIZINE) 10MG TAB,RESPIRATORY,GENERICS,9850.39,4051.0,4.0
2024,8904179017819,RETAZART (LOSARTAN) 50MG TAB,CARDIOVASCULAR,GENERICS,4231.0,1740.0,9.0
2025,0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,VITAMINS,OTC,44077.2,961.0,5.0
2025,4806319103701,PHAREX VITAMIN (VITAMIN B1+B6+B12) TAB,VITAMINS,GENERICS,3253.48,651.0,8.0
2025,4806504260614,APPEVIT CAP,VITAMINS,OTC,18576.0,1246.0,4.0
2025,4806527201342,MULTICAPS,ADULT MILK,F&B,6000.0,3000.0,1.0
2025,4806533602355,RETAVASC- 5 (AMLODIPINE) 5MG TAB,CARDIOVASCULAR,GENERICS,1260.22,763.0,7.0
2025,4806533602362,RETAVASC (AMLODIPINE) 10MG TAB,CARDIOVASCULAR,GENERICS,1082.95,639.0,9.0
2025,4807788561688,BIOGESIC 500MG TAB,PAIN MANAGEMENT,OTC,6128.55,1321.0,3.0
2025,8904179017567,GOZTAN-50 (LOSARTAN POTASSIUM) 50MG TAB,CARDIOVASCULAR,GENERICS,2518.0,1346.0,2.0
2025,8906117651642,ATORMED -20 (ATORVASTATIN) 20MG TAB,CARDIOVASCULAR,GENERICS,4467.6,577.0,10.0
2025,8906117651871,CETIRILIFE (CETIRIZINE) 10MG TAB,RESPIRATORY,GENERICS,2424.44,813.0,6.0
